name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Hyde Park - Walk to UChicago, 10 min to McCormick",Hyde Park,Private room,1.0,1.0,1,2,65.0,355,181,100.0,41.7879,-87.5878,1
394 Great Reviews. 127 y/o House. 40 yds to train.,South Lawndale,Entire home/apt,3.0,1.0,7,2,117.0,184,395,96.0,41.85495,-87.69696,1
Tiny Studio Apartment 94 Walk Score,West Town,Entire home/apt,3.0,1.0,2,2,70.0,365,389,93.0,41.90289,-87.68182,1
Barbara's Hideaway - Old Town,Lincoln Park,Entire home/apt,1.0,1.0,4,4,95.0,282,54,93.0,41.91769,-87.63788000000002,1
The Biddle House (#1),Lincoln Park,Entire home/apt,2.0,1.0,4,4,125.0,101,21,90.0,41.91183,-87.64,1
Private Apt 1 Block to Fullerton L Red Line - Deck,Lincoln Park,Entire home/apt,1.0,1.0,3,32,77.0,171,37,85.0,41.92679,-87.65521,0
Top 2/1  Block to Fullerton L Red Line Deck & Yard,Lincoln Park,Entire home/apt,2.0,1.0,6,32,94.0,213,47,87.0,41.92693,-87.65753000000002,0
"Sanitized, Huge, Quirky Bucktown Loft + Parking",Logan Square,Entire home/apt,3.0,2.0,6,2,79.0,343,76,93.0,41.92083,-87.6801,1
Andersonville - Perfect location!,Uptown,Private room,1.0,1.5,2,3,110.0,264,250,100.0,41.9729,-87.66538,1
Central guestroom! Walk everywhere!,Near North Side,Private room,1.0,1.0,2,2,75.0,89,500,94.0,41.89377,-87.63465,1
"Rest, Relax and Explore",West Town,Private room,1.0,1.0,2,2,50.0,138,70,96.0,41.89615,-87.67934,1
5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,Uptown,Private room,2.0,1.5,6,2,180.0,363,151,96.0,41.96792,-87.65756999999998,0
The Explorer Room,West Town,Private room,1.0,1.0,2,2,40.0,212,80,98.0,41.89615,-87.67934,1
Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,Uptown,Private room,1.0,1.0,2,2,99.0,363,150,96.0,41.9693,-87.65621,0
"Near Lake, Wrigley and Weiss Hospital",Uptown,Private room,1.0,1.0,1,3,35.0,0,162,97.0,41.96852,-87.65225,0
"Sweet Ivy Apartment #1 Relax, Recharge & Explore!",West Town,Entire home/apt,2.0,1.0,3,14,100.0,173,35,98.0,41.89243,-87.68078,0
Trendy Roscoe Village 3BR/2BR walk to shops,North Center,Entire home/apt,3.0,2.0,8,2,167.0,0,35,94.0,41.94342,-87.68121,1
4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Lincoln Park,Entire home/apt,4.0,2.0,10,2,275.0,360,56,95.0,41.91289,-87.63864000000002,1
"Two Bedroom, One Bathroom Apartment",Lake View,Entire home/apt,2.0,1.0,4,3,198.0,365,60,91.0,41.94274,-87.67321,0
Cozy Garden Studio,North Center,Entire home/apt,1.0,1.0,3,3,125.0,365,88,91.0,41.94274,-87.67378000000002,0
"Three Bedroom, Two Bathroom Combo Apartment",Lake View,Entire home/apt,3.0,2.0,8,3,280.0,0,22,82.0,41.94221,-87.67327,0
1BR/1BA Suite in Chicago (3709-G1),Albany Park,Entire home/apt,1.0,1.0,2,28,59.0,307,33,96.0,41.96125,-87.72194,1
"Best in Chicago, private, amazing garden space",Logan Square,Entire home/apt,2.0,1.0,5,3,135.0,157,521,99.0,41.92918,-87.70219,1
Darling Damen Dwelling (with bike if you like),North Center,Private room,1.0,1.0,1,3,30.0,8,176,99.0,41.95935,-87.67963,1
Historic Pullman Artist Flat - Artists & Explorers,Pullman,Entire home/apt,1.0,1.0,3,1,90.0,318,270,98.0,41.6883,-87.60892,1
Pullman Art Studio - One Person - Monthly Rental,Pullman,Entire home/apt,1.0,1.0,1,30,39.0,89,39,98.0,41.68909,-87.6088,1
Cozy & comfy with AC close to California Blue Line,Logan Square,Private room,1.0,1.0,1,2,79.0,358,20,98.0,41.92543,-87.69593,0
Quiet Bedroom/ARAGON/Train,Uptown,Private room,1.0,1.5,2,2,90.0,363,97,98.0,41.96797,-87.65791,0
Close to Michigan Ave and parks,Near South Side,Entire home/apt,1.0,1.0,2,180,170.0,358,39,97.0,41.86051,-87.62399,0
